class,answer
29,"This is indicating that you are a registered taxpayer with valid GSTIN, since a validation is done on the PAN you have entered. You need not enroll again as transporter but use your GSTIN to register on eway bill portal."
30,Kulfi is classifiable under heading 2105 and attracts 18% GST
31,"Solar Panel Mounting Structure,depending on the metal they are made of,will fall under 7308 or 7610 and attract 18%GST"
32,Idli Dosa Batter (Wet Flour) [as food mixes] falls under heading 2106 and attracts 18% GST
33,Maize [of seed quality] fall under heading 1005 and attract Nil GST
34,Classifiable under different different headings depending on their constituent and attact different  GST Rates
35,Filters or Water Purifiers fall under heading 8421 and attract 18% GST
36,Organic surface-active products or preparations or agents fall under heading 3401 or 3402
37,"Puja samagri, including kalava (raksha sutra) attracts Nil GST"
38,Nail Polish [whether in large quantities say 50 to 100 litres or in retail packs] falls under heading 3304 and attracts 28% of GST
39,Wet dates fall under heading 0804 and attract 12% GST
40,Mohua flowers fall under heading 1212 and attract 5% GST.
41,"Where the supply of raw cotton is by an agriculturist [as defined under section 2 (7) of the Central Goods and Services Tax Act, 2017] to a registered person, GST will have to be paid by such registered person on reverse charge basis."
42,Sterilisation pouches fall under 3005 and attract 12% GST.
43,"NCCD shall continue to be levied on tobacco and tobacco products at the rates as applicable prior 1st July,2017"
44,Plastic bangles falling under heading 3926 are exempt from GST
45,"Goods of manmade fibres (including those yarns of two or more monofilaments of Chapter 54) measuring more than 10,000 decitex are classifiable under heading 5607 as twine and attract 12% GST"
46,"All goods [including aerated waters], containing added sugar or other sweetening matter or flavoured falling under 2202 10 attract 28% GST and 12% Compensation Cess."
47,"Meat of sheep or goats (including mutton leg), fresh, chilled or frozen [other than frozen and put up in unit container] falling under heading 0204 is exempt from GST."
48,"Under GST, a trader would be entitled to avail input tax credit paid on their domestic procurements of goods and services unlike the present indirect tax regime. Presently, a significant portion of indirect taxes namely Central Excise and Service Tax form part of the cost component for a trader. This will not be the case under GST. He will now be able to take credit of all taxes paid by him."
49,A trader dealing only in exempted goods or where his turnover is below Rs.20 Lakhs in the financial year (but not engaged in inter-State supplies) is not required to register under GST.
50,Traders not opting to pay tax under composition scheme need to file returns on a monthly basis. Form GSTR-1 is to be filled for outward supplies made by the trader (made in the month for which return is being filed) by the 10th of the next month. Other parts of the return Form GSTR-2 and Form GSTR-3 are auto populated and only needs to be verified and submitted by the 15th and the 20th of the next month respectively.
51,"The details to be entered in the return of outward supplies Form GSTR-1, made by the trader depends upon the nature of supplies made."
52,Yes. Composition levy is an alternative method of levy of tax designed for small taxpayers whose turnover is up to Rs. 75 lakhs(Rs. 50 lakhs for special category States)
53,The rate for traders shall be 1% (0.5% CGST plus 0.5% SGST) of the turnover in the state.
54,"A trader, if registered under GST, will have to pay tax on monthly basis on or before 20th of the succeeding month."
55,"It will be computed on the basis of turnover on all India basis. “Aggregate turnover” means the aggregate value of all taxable supplies (excluding the value of inward supplies on which tax is payable by the composition dealer on reverse charge basis), exempt supplies, exports of goods or services or both and inter-State supplies of persons having the same Permanent Account Number, to be computed on all India basis but excludes central tax, State tax, Union territory tax, integrated tax and compensation cess."
56,"The intimation is to be made electronically in Form GST CMP-01 by the migrated traders. A person who has already obtained registration and opts for payment under composition levy need to give intimation electronically in Form GST CMP-02. Persons filing fresh registration application can also give the option in Part B of Form GST REG 01, and this will be treated as an intimation."
57,Persons who have been granted provisional registration and who opt for composition levy-22nd June 2017
58,"The option exercised by a registered person to pay tax under composition scheme shall remain valid so long as he satisfies all the conditions mentioned in section 10 of CGST Act, 2017 read with Chapeter II of the CGST Rules, 2017."
59,Lac or shellac bangles are classifiable under heading 7117 and attract 3% GST
